Date,Comment
20120502214439Z,"""There is no shame in getting beaten when you are up against the most awesome strikes of the season."""
20120612114127Z,"""If you are a normal, nonliberal white person, get out of California.\xa0 I am starting to think us whites should move to the Northwest, like Washington, Oregon, Idaho, Montana or Wyoming."""
20120619084451Z,"""This is fucking illuminati!!\xa0 I mean if you see the video - there is this scene where she is on a wheelchair and the little girl tries to protect katy perry from the 2 gigantic bull faced people - which is a symbol of devil - \nP.S - The girl is a mere reflection of katy perry when she was young -"""
,"""Lesbians are, as a percentage of the population, half the gay community. And yet their transmission rate is six time lower than it is for heterosexuals. Does that mean that they ought to be able to consider heterosexuals to be filthy, disease-spreading monsters? """
20120618190025Z,"""<b>SNAIL WIVES USE SMALL MOTHERFUCKING KNIVES ON PAUL SMITHES</b>"""
20120528160950Z,"""Can we do better than Obama?  Yes."""
20120610091525Z,"""manny didnt get beat. you are fucking stupid"""
20120619221431Z,"""Why are you so hung up on skin color, jm?"""
20120610011130Z,"""I suspect you are right...as usual."""
20120620145053Z,"""Idiot."""
20120529202821Z,"""First we have to find exactly who we are dealing with.\xa0 You have the Syrian government that is backed up by Iran so you have shiite's on one side.\xa0 Then you have al-Qaeda on the other and they are for the most part sunni muslims and they are backed by Saudi Arabia with weapons and support. \xa0 Then you have the Christians that are caught in the middle.\xa0 Neither side is pro-western or pro-American. \xa0 Let them fight it out. \xa0 The side that comes out will be very weak and at that point we may be able to something right now taking either side is a very bad idea."""
,"""Ever wonder why Conservatives are constantly falling over themselves to suck up to Israel and blame/block the Palestinians in every way?\\n\\nOur countries present day international policy goes back to a book of fairy tales written thousands of years ago which basically says in order for Jesus to come back, THE JEWS MUST BE IN CONTROL OF THE LAND OF ISRAEL. It was no accident that we ""gave"" them that land after the war.\\n\\nSo if you ever try to discuss this topic with someone and all facts and reason seem to be going nowhere, understand you are likely talking to a person that holds their faith above logic and reasoning or they have been spoon fed misinformation by those that do. """
20120610094816Z,"""""Sasuke thoughts""- You burnt my fucking snake, now you die."""
20120619033055Z,"""It is indeed a fallacy and will always be a fallacy."""
20120611222800Z,"""Or more about theft than the black panthers."""
20120527215015Z,"""Ideally, some issues that men more to one person than the other can lean in the direction of that person. \xa0Where this all breaks down is when the wife takes on the role of always deciding everything. \xa0Good riddance to that garbage. \xa0I am happier alone."""
20120529211539Z,"""You must be on an Eastern Conference team..."""
20120618225611Z,"""You are a total idiot.\xa0 You are probably unemployed and will never be able to find a job.\xa0 I'm glad you won't be able to figure out how to vote so we don't have to worry about you on election day.\xa0 Do you just sit in a dark corner 24 hours a day, or do you just act like you do?"""
20120620112205Z,"""People like you are a complete waste of time and I really am appalled by your ignorance and your anti-Semitic hatred. \xa0I pity you when you stand before God... and you will one day, whether you believe in him or not."""
20120619021540Z,"""The length of my deconversion process depends on which ideas I heard that later took root. It could have taken about twenty years from when a liberal asked me what language God spoke when he said ""let there be light."" But more accurately it took about twelve years, six as a liberal/existential/deist, and then six as an agnostic, before claiming there isn't enough evidence to think that a god of any kind doesn't exist."""
20120619091353Z,"""It must make you hard to be so much smarter than everybody else.  If you want to pass on knowledge, leave your own ignorance of human communication at the fingertips and just answer the damn question.  You're no better than anybody else"""
20120609154411Z,"""fuck you matt hatfill fat bitch nigga"""
,"""@kj1222 @PatrickLacroix i have no clue i tryed this and it didnt work now i am going to remove the crt and then remove the ass.plist and then reinstall crt and try again"""
,"""Hey Sword of Islam, anyway you guys can strap a bomb to him and send him home to poppa.\\xc2\\xa0 I know how much you guys love to blow yourselves up along with innocents."""
,"""They certainly can reproduce, they are not sterile you idiot.\\xc2\\xa0 """
20120529201712Z,"""Take your meds and go back in your cave."""
20120529094241Z,"""Sarko's dream was not realized yet.\nTotal had the 35 % promise but the Americans didn't like it, so it didn't happen."""
20120530144943Z,"""57 states\nCorpesman\nPolish Death Camps\n\nI'm telling you this guy is a blithering idiot, if he weren't such a narcissistic creep, he would know things."""
20120528190432Z,"""It's a 1-2-3 inning for Doug Fister...ya just don't hear that often enough ......."""
,"""WHY YOU MAD FAGGIT. YOU LIKE DICK? \\nFUCK FAGGITS FUCK YOU"""
20120502192847Z,"""Your dumb"""
20120527192404Z,"""NAY are you a fan of NASCAR as well?"""
20120529045121Z,"""MrRobP: I think this conversation honestly just boils down to a matter of opinion. I like Burton's Batman's too but i felt he changed so much as well to fit his gothic style. Just like Nolan changes a lot to fit his realism edge. I dont want ultra realism for all comic books i just feel it really works for Batman. Plus i like more mature movies and the darkness in this series really makes me believe that these people can exist out there. When i saw TDK, an aspect that made it so mezmerizing and great for me was that i can truly believe that a man like Ledger's Joker is out there somewhere, idk but it made the experience of that film so visceral. But that approach wouldnt work for Spiderman or\xa0 Avengers or basicallly all other superhero movies. Nolan's Batman gives the audience something no other superhero movie can give. One that can honestly happen, and that makes it more fantastical in my opinion."""
20120528180015Z,"""Now we find out: ""is Dirks\xa0 batting 7th a Good Thing?"""""
20120619012807Z,"""I have a feeling you are even dumber than you sound."""
20120527181045Z,"""BIG so what, she's a normal kid from a beautiful (not politically) family."""
20120610042818Z,"""Why isn't race tied to the crime in this case?"""
20120612023029Z,"""dan_amd\n\nYou have realy no clue on every single idiotic comment of all your posts.WE ALL DON'T enjoy your stupid PRO AMD B:U:L:L:S:H:I:T ignorance.Please crawl back then in the fat ass of your gay loving buddy charliedemerjian semiinaccurate and try to find the light inside - U stupid FAG!\n\nWE REALY DON'T NEED AND WANT YOUR POST HERE ANYMORE!"""
,"""I guess trying to blow up the Israel embassy in our nations capital would never put Americans at risk. The Iranians are not worried about our Gov, they are just waiting untill they get the bomb then the gloves will come off I wish our government would grow a pair before it's to late. """
20120529154554Z,"""Haha, yea I think she was complaining about being fat because she is now 108 or something like that."""
20120609184956Z,"""Arrest all of these scumbags for fraud."""
20120529233519Z,"""lol who are you rooting for??"""
,"""You blowing someone 100 times doesn't make you a better c0ck sucker than if you blow someone 10 times ..... bottom line you just blow"""
20120612083723Z,"""C\xe1c b\u1ea1n DLB \u01a1i,\nPh\u1ea7n k\u1ef9 thu\u1eadt c\u1ee7a DLB d\u01b0\u1eddng nh\u01b0 c\xf3 tr\u1edf ng\u1ea1i. Tr\u01b0\u1edbc khi g\u1edfi, \u0111\u1ec3 tr\xe1nh tr\xf9ng l\u1eadp,\xa0 DN \u0111\xe3 c\u1ea9n th\u1eadn x\xf3a ph\u1ea7n (\u0111\xe3 \u0111\u01b0a t\u1eeb M/Word v\xf4 DLB tr\u01b0\u1edbc \u0111\xf3), r\u1ed3i \u0111\u01b0a ph\u1ea7n m\u1edbi v\xe0o v\xe0 g\u1edfi \u0111i.\xa0 Nh\u01b0ng g\u1edfi xong v\u1eabn hi\u1ec7n ra ph\u1ea7n b\xe0i \u0111\xe3 x\xf3a, th\xe0nh ra hai ph\u1ea7n tr\xf9ng l\u1eadp.\n\u0110\xe2y l\xe0 l\u1ea7n th\u1ee9 hai DN b\u1ecb tr\u1edf ng\u1ea1i nh\u01b0 v\u1eady.\nMu\u1ed1n tr\xe1nh tr\u1edf ng\u1ea1i, DN \u0111\xe3 ph\u1ea3i t\u1eaft b\u1ecf DLB, m\u1edf l\u1ea1i r\u1ed3i g\u1edfi th\xec h\u1ebft tr\xf9ng l\u1eadp. Nh\u01b0 v\u1eady ph\u1ea7n ""cut"" ho\u1eb7c ""delete"" trong DLB kh\xf4ng ho\u1ea1t \u0111\u1ed9ng h\u1eefu hi\u1ec7u?\nVui l\xf2ng cho bi\u1ebft \xfd ki\u1ebfn."""
20120530143421Z,"""They elected him, and most likely will do so again."""
20120611235943Z,"""I missed the day when elected you to speak for ""90%"" of us.  Carry on then."""
20120612051433Z,"""I hope some of you realize YOU are the reason young gays (and all ages!) commit suicide. \n\nI hope you can sleep at night - the blood is on your hands."""
,"""I dont understand why some people are calling ththe travelling community vermin and such words because it isnt true just because you dont like their way of life doesnt give you the right to call them or any human being vermin, based on life choices, Yes if they were at the bottom of my backyard i would be building relationships, a friendly chat and the offer of a cuppa just the same as i treat anyone else."""
20120610131755Z,"""I'm a little fed up with you also. I usually just\nignore your childish petulant posts.\xa0 You\ndon\u2019t add much to the discussion any more."""
20120529011940Z,"""let him clinch it - like TX wasn't going to be a red state no matter what...duh"""
20120527185402Z,"""@JBW1\xa0\xa0@JHD = I TOLD YOU SO\xa0\xa0@ChevyDawg82\xa0So he doesn't actually have an offer and all of that\xa0hoopla\xa0over him was for naught when he committed. \xa0That's cool. \xa0I feel like this is one of those things that the new on campus recruiter needs to clean up."""
20120619181848Z,"""well i did...so you're an idiot."""
20120515112942Z,"""Jamey, you aint kidding!"""
20120320202059Z,"""Only racist here is YOU!!!!!!!!\xa0 Take your racist statements and FUCK OFF!"""
,"""He looks pretty damn chiseled to me and I've done a bit of digging around and there are tons of reports about how he's been nothing if not a model student, super courteous, and a fiercely hard worker."""
20120527195023Z,"""I LOVED HIS CLEAN CUT DICK, HOPED I AM THERE TO SUCK IT AND LICK AND ALLOW HIM TO FUCK ME..."""
20120514050404Z,"""Have you seen birdsong, yet?"""
20120619131022Z,"""It's Tupac motherfucker. The Illuminati did not kill me and I am alive and well."""
20120527213427Z,"""Satriani? Vai? Adam Jones? Petrucci? Wylde? Buckethead? Hey Rolling Stone how about you guys stop trying to involve yourselves in leftest politics and weak trendy fashion and get back to what you are suppose to do, MUSIC. Another fine example of your piss poor rag of a magazine coming up with another irrelevant list of dribble. The guy from Radiohead? Kurt Cobain? Thurston Moore? The Police Guy? Joni Mitchell? Are you guys retarded or just this lame? What type of criteria do you guys use for this shit? Does holding a guitar once in my life qualify me for your top 100? Morons."""
,"""Our Marxist president is like a dog with a bone. \\xc2\\xa0He HAS to get some flesh out of the taxpayers of our country to satisfy his moonbat base. \\xc2\\xa0It matters not one bit, you could tax all of us into oblivion and it wouldn't put a dent in the debt. \\xc2\\xa0He doesn't care. \\xc2\\xa0He's out for his pound of flesh. \\xc2\\xa0And what about everyone paying their fair share. \\xc2\\xa0That infuriates me. \\xc2\\xa0What is the fair share for the 48% who suck the life out of our country using our social services, roads, military protection etc. \\xc2\\xa0They can afford something too. \\xc2\\xa0Let's get them into the game and see how they like tax hikes."""
20120619174213Z,"""Jordan Brand should do a year of all OG releases with the Nike symbol and call them the OG Retro"""
,"""As if you needed a government agency to clean up litter. That's one of things I've noticed about people who live in big government, socialist societies: They seem to have lost their basic human self-initiative. Something which is very glaring to an American. Over here, if there's litter, we don't jump immediately to blaming the government. We blame ourselves for being slobs and then somebody, somehwere will create and organize a volunteer effort to clean it up. I saw uplifting glimpses of that spirit from the volunteers who cleaned up the streets of London after the recent riots. Gave me hope that one day Britain will go back to a small government, self-reliant society. Even decades of living under a socialist nany state can't totally kill your spirit."""
20120611204006Z,"""why are you turning this fun event into a race thing?\xa0 miserable fuck."""
20120619150457Z,"""You know, of course, that you are just another ""mac-douche"", right?"""
,"""Look.dumbfuck. I am just pointing out the asshoIe's hypocrisy in calling out other people's errors.  If you want to defend him and suck.his.cock then go get a private room together and have some decency. """
,"""Why have our taxes gone up? Because now that Obama is in office every week they have to restock the entire place with new silverware."""
20120619214120Z,"""Light socket. Keep your vision, just fry out the memory."""
20120529144312Z,"""Paul lee and you are trolls."""
,"""Marriage is a religious ceremony, not a federal right. The act of being gay is a mental illness. It goes against nature and needs to be stopped. A product of the evil one\\xe2\\x80\\xa6."""
20120529135349Z,"""About to give my final intern presentation #nervous\n\nGO JUAN GO"""
,"""haha Ted Nugent? Are we talking about the same Ted Nugent that purposefully crapped himself to dodge the draft? Or the one who tried to legally adopt a minor for the sole purpose of having a sexual relationship with her? Sounds like a real red blooded bad ass."""
20120529051317Z,"""Piss off you sniveling little turd."""
20120612145537Z,"""Same reason no one cared Obama did cocaine, which is a felony as well."""
,"""@ThunderWins Of course not. The better Ibaka does, the more he'll be able to fetch in trade (though it'd make the trade hurt more). Unless we're willing to go heavy into the tax for multiple seasons (highly unlikely with the harshness of the tax penalty under this CBA), it's either trade Ibaka or let him walk for nothing. """
20120527185700Z,"""Agreed. Neocons are the progressives of the right."""
,"""Well Happy BIrthday should we asked how many candles to blow out"""
20120620121505Z,"""This is grim news...\nJohnny Depp has separated from his partner of 14 years, French singer and actress Vanessa Paradis. The 49-year-old began dating Paradis, 39, in 1998 after he broke up with supermodel Kate Moss."""
20120610202138Z,"""<font face=""Arial, Verdana"" size=""2"">""</font><span style=""color: rgb(51, 51, 51); font-family: Verdana, Helvetica, Arial, sans-serif; font-size: 12px; line-height: 15px; text-align: left; background-color: rgb(255, 255, 255); "">Ya I'm just a moron troll""</span><div style=""text-align: left; ""><font color=""#333333"" face=""Verdana, Helvetica, Arial, sans-serif""><span style=""font-size: 12px; line-height: 15px;""><br></span></font></div><div style=""text-align: left; ""><font color=""#333333"" face=""Verdana, Helvetica, Arial, sans-serif""><span style=""font-size: 12px; line-height: 15px;""><br></span></font></div><div style=""text-align: left; ""><font color=""#333333"" face=""Verdana, Helvetica, Arial, sans-serif""><span style=""font-size: 12px; line-height: 15px;"">Do not sell yourself short, you are an idiot as well.</span></font></div>"""
20120619213722Z,"""Wow, your mom's a cunt."""
20120619212238Z,"""oisin77,\n\ngood spot, and to celebrate his 90th birthday here's some of his best jokes.\n\nhttp://www.independent.co.uk/news/uk/home-news/ninety-gaffes-in-ninety-years-2290148.html"""
20120611181457Z,"""Holy cow!  I just woke up to the fact that if government has a ""spending problem"", maybe that spending could actually be put to work stimulating the economy!  The idea that if government doesn't invest AND business doesn't invest, that that will somehow grow the economy - it's laughable!  Boy, what a chump I've been!"""
20120320053852Z,"""ahah UR FUCKIN RETARDED FOR BELIVEING IT\n\nWHO EVER BELIEVES IT IS FUCKING RETARDED AS FUCKKKKKKKKKKKK"""
20120612052907Z,"""Asta luego ayi deje unas hijas de puta radrando como perras qu\xe9 son a chingar su madres y clone m\xe9tete un balazo puto no tienes vida. Saludos desde Texas fuck you hating ass fags 18 wheeler driver out here!!!!!"""
20120320165052Z,"""You are a loser.\xa0 Always whining about the ownership.\xa0 It is not society's fault you still live in your momma's basement and you are overweight."""
20120620141552Z,"""det er fucking scary"""
,"""Other than ignorant ass-hats like you, who has used the word, ""crazy""?\\xc2\\xa0 It\\'s not used in the story.\\xc2\\xa0\\n\\nI understand that in the poorly educated and morally bankrupt segments of society where liberal dogma is most commonly used, fabricating words for someone else and then attacking them for the lie YOU create is considered ""smart"" debate.\\xc2\\xa0 But there are still a few Americans remaining who see through that middle school garbage and won\\'t put up with it.\\xc2\\xa0 \\n\\nYour post says a lot more about you than it does anyone involved in researching or publishing this story.\\xc2\\xa0 If you want to debate the story, stick to the content of the story, and stop pretending they\\'re saying things that weren\\'t written...liar."""
,"""Abnormal or deviant means when something is just that-out of the ordinary. Since gay behaviour occurs fairly commonly in both human and animal kingdoms, by definition it is not abnormal."""
20120529130950Z,"""You ain't a troll bro"""
20120610073731Z,"""Fuck this show-.-"""
20120610150605Z,"""OH SHUT THE FUCK UP YOU CRY BABY BITCH! GO CRY A FUCKING RIVER AND TELL ON ME SOME MORE TO THE ADMIN! REAL MATURE WAY OF HANDLING THINGS CRY BABY!"""
20120611141058Z,"""Razor2myWrist... when will you take that razor there?\xa0 Hopefully soon.\xa0 You are a major moron.\xa0 When HE calls you home HE will call you home.\xa0 I'm sure that HE did not let\xa0Patrick\xa0suffer.\xa0 Prayers and condolences for those he left behind."""
,"""^TRUTH \\xc2\\xa0niggas still going platinum so I dont want to hear bootlegging killed your album. You album didnt sell cause its wack."""
20120612043710Z,"""Thanks for sharing your thoughts Tink. I'm very literal in my thinking too. I see the 1 + 1 = 2 thing too. So when I read that Eric kills his bodyguard and was cold and detached about it, I automatically think... Ughhh evil Bastard. I can't see past someone, character or in real life person kills another and feel nothing about it. I can't forgive that. It disturbs me but I'm not an actress trying to get inside a character so I get that Rob and I see people and characters differently.\nI'm curious to see Rob's performance in this because if he was to make me, not like, but understand George, I wonder how he'll make me feel about someone I already commits murder."""
,"""Taking the bull by the horn,meaning military action as is proposed by the COAS is\\xc2\\xa0 not going to solve BH issue.This is cos military would just harrass and exterminate innocent citizens and rape their wives and children as it is happeing in Maiduguri.THE BH ATTACKS WERE WORSEN BY THE PRESENCE OF SOLDIERS.PEOPLE WERE NOT FLEEING MAIDUGURI UNTIL THE SOLDIERS ARRIVED.\\nYou can not go to war (physically) with people you do not know.They dont have identity,it is not written on their faces.You have no idea about their hideout or HQs.So where are you going to attack.\\nThe most important strategy now is intelligence gathering-let the SSS,DMI,the Police and even the NIA deploy their operatives in disguise and not in SUITS to Maiduguri and anywhere the BH are perceived to be present.Get some report,make some arrests ,extract information from them and prosecute them.\\nAnd lastly the president admitted he knows some BH members in his government.Let him assist Nigeria by mentioning their names to the security operatives for interrogating them. """
20120529224912Z,"""That sounds like racism. HE does not look like a monkey."""
20120529220113Z,"""Not sure you were supposed to remember that....haha..."""
20120609165037Z,"""To engage in an intelligent debate with you is like debating to a retarded person.  It's useless.  It looks like you're bent on disregarding the efforts of the government."""
20120529014717Z,"""Cardinals are quite good outside of QB.  They finished the year 7-1 I think.  They are hilariously bad at QB though.  Depends on whether you go there, or if you're hosting.  The Rams should improve, but to what degree is hard to know (and they were terrible last year).  Seattle had the #9 D in the league last year despite a terrible offense.  They improved on paper.  If we get mediocre QB play this year you will have a tough game at Seattle."""
20120610044409Z,"""The small city I live in borrowed 30 million (with the interest) to build a new Rec Plex. Too bad the roads in town all need major work. They found money for a rink, and we have ONE pothole repair truck, and all they do is dump some fill and step on it. Then when it rains, the fill is smush. What a waste of time and energy..... The rink is really NICE, though..."""
20120610201329Z,"""Your site sucks. No big booty bitches videos."""
,"""EAT A DICK YOU NERDY LOOKING BASTARD"""
,"""@...PetrsMailbox maybe I am to.  Have a runny nose for like 2 days now.   Thought i had a cold"""
,"""@jla Thanks, jla! I am having switch or modem issues and got knocked off line for a spell."""
20120529013550Z,"""LOL LOL Miami HEAT WIN... Now the NBA is in our side.. LOL YEAHHHHHH"""
20120610141537Z,"""that bitch nipples was sharper than a sharpie, them shits was pointy af"""
20120529210750Z,"""The Heat do get alot of calls, but the best was Ray Allen falling down on that 3 pointer!"""
20120609222338Z,"""Unless I read this wrong, which is possible, I think at issue is was he still married when they began emailing one another, and was any confidential information given to the journalist who later became his wife."""
20120610071513Z,"""Good points. I just think that this crisis was much worse and America has a lot more competition now. The old jobs are simply not coming back and no president can fix that with tax policy. I believe the deep problem is our education system. The Chinese are studying 5 hours a night. We are not. Parents aren't demanding that their kids work hard and teachers aren't demanding enough."""
20120502200313Z,"""Did he know someone who was a boy molester\nyou will all throw trash on him next"""
,"""\\xc2\\xa0JustTheFacts2011 is with Media Matters. He wouldn't know the facts if it ran him over. Charlies in the wire, blow the claymores. """
20120320073853Z,"""hey carles..hows this sound..fuck off about grimes..shes my fucking girlfriend..and your fucking annoying.. i fucking love her..and your a dick"""
20120611224937Z,"""The pin shit like this just to tease us. I'd cut a bitch for this bag. <3"""
20120611223640Z,"""Sure, what's next? \xa0Decorating the roadside trees with nooses?\n\nDie mofos."""
20120502173936Z,"""Lol, you are very loved - freaky moments and all ;)"""
20120620033346Z,"""You call people racist & idiots, yet you say ""you are mad that your momma wants a nice black p*nis in her life"" you sound like the idiot to me......loser"""
20120514050409Z,"""I know right but you are the one that took it upon yourself to make the right move. Rob is lucky to have great fans (some need to take a breather)"""
20120612004608Z,"""Then do it when the law says to."""
20120619174502Z,"""What about Onslaught?\n\nI merely use the well honed tactics of the liberal democrat, and all of a sudden I'm a horrible monster?\n\nI employ your standards and you have a problem with that?\n\nMay I remind you that I am the very model of a modern liberal democrat?\n\nYes, Yes I may:\n\nI AM THE VERY MODEL OF A MODERN LIBERAL DEMOCRAT\n\nLIBERAL\nI am the very model of a modern liberal democrat\nA hurtful, hate-filled, vile, vicious, low down, no good, dirty rat\nI\u2019m venal and pernicious and obnoxious and deplorable\nAnd yet despite it all my mother still finds me adorable.\nI spend my time producing copious amounts of excrement\nThen fling it, like a monkey, \u2019round all over Al Gores internet\nI loudly shout to one and all my intellect superior\nThen demonstrate with equal verve my acumen inferior.\n\nALL\nThen demonstrate with equal verve my acumen inferior.\nThen demonstrate with equal verve my acumen inferior.\nThen demonstrate with equal verve my acumen inferi-eiror.\n\nLIBERAL\nMy grasp of fact is not the best; in truth it is quite tenuous\nMy view of history, \u2018bout the same, is fractured, filtered, nebulous.\nA hurtful hate-filled vile vicious low down no good dirty rat\nI am the very model of a modern liberal democrat.\n\nALL\nA hurtful hate-filled vile vicious low down no good dirty rat\nHe is the very model of a modern liberal democrat.\n\nLIBERAL\nI\u2019ve studied Saul Alinsky and I\u2019m practiced as a radical.\nI cling to every tenant of the socialist, fanatical.\nI make my rounds of all the liberal hotspots on the internet.\nThen parrot what I read just like some kind of mind numb malcontent.\nThe topics that I comment on are peppered well with BDS.\nI get the talking points I mouth from CNN and PBS.\nThe New York Times is like a bible that I pray to everyday.\nI never question anything, no matter how dumb, that they say.\n\nALL\nI never question anything, no matter how dumb, that they say\nI never question anything, no matter how dumb, that they say\nI never question anything, no matter how dumb, that they say, they say.\n\nLIBERAL\nI bloviate and obfuscate and knowingly prevaricate\nI castigate, vituperate, at slinging mud, I\u2019m really great.\nA hurtful hate-filled vile vicious low down no good dirty rat\nI am the very model of a modern liberal democrat.\n\nALL\nA hurtful hate-filled vile vicious low down no good dirty rat\nHe is the very model of a modern liberal democrat.\n\nLIBERAL\nIn fact when I can denigrate an African American (R)\nWith slurs the like of which were never dreamt of by the Ku Klux Klan.\nWhen I can fight for death row cads just like they were my son or brother  \nOr the right of murder that belongs to an expectant mother. \nWhen I can call my enemy, but not my homo friend, a fag\nAnd tolerate behavior that would likely make a maggot gag.\nThen all my wastrel pals would turn their beaming faces up at me \nAnd say a better liberal democrat they never hope to see.\n\nFor my militant proclivities, both overt and clandestine-y,\nHave only been brought down since the middle of our last century.\nBut still, a hate-filled vile vicious low-down no good dirty rat,\nI am the very model of a modern liberal democrat."""
,"""To the Chelsea fan - Yes liverpool spent 100Mil, 50 Mil in which you gave us :) so we spent 50Mil on 4-5 players bargain ehy! but your team 100mil plus for pentioners LOL"""
20120619182939Z,"""I love this blog but its comments like this that make me think you're a pretentious comedy douche. \n\n\n""It seems to me that when a majority of critically lauded network sitcoms\n have female leads and you are a person best known for being friends \nwith Jimmy Kimmel, being on The Celebrity Apprentice and Dancing with the Stars, and hosting a podcast, well, you should shut the fuck up about who's funny and who isn't. "" \n\nHe definitively best known for The Man Show or his podcast that was once the most downloaded podcast on earth. He also wrote a Book that debuted on the NYT best sellers list. Don't try to downplay a mans career because you disagree with a comment he said about women in comedy. Corolla is a paid comedian with over a decade of being prominent in show business he is allowed to air his opinions on comedy and say who is funny and who is not."""
20120320083945Z,"""Then why do you continue to watch it if you are only going to cry like a little bi*ch afterwards? Answer: You're a pathetic momma's boy whose crying for attention."""
20120529164007Z,"""Not their fault but reason enough!"""
20120529224313Z,"""Most people, especially sports fans, don't comprehend and generally make comments without understanding what they are commenting about. Kinda like how people vote after watching the news thinking they are informed.\n\nThey start of biased, read something and interpreting it based on that bias.\n\nOwns is a diva receiver with a big mouth, but he has never done anything bad like criminal acts to make people hate him so much.\n\nI still hope he gets a chance to contribute to the NFL, he was and is entertaining and thats why we all watch the sport."""
20120619190828Z,"""heheh I wear heels bigger than you dick it is incredibly awesome note!"""
20120612004050Z,"""@PensAreYourDaddy\xa0\xa0@G-mus negative"""
20120527213606Z,"""idk, just thought you were. lol"""
,"""@pbreaker Did that and still no luck...."""
,"""@sullivanst @fargo116 They also tried to sue other organizations that had ""...For The Cure"" in their name."""
20120502053415Z,"""I like it when people say COD is notorious for Michael Bay crap. I don't understand that. Its fucking war. Guns flying everywhere and bombs dropping is what war is about."""
20120527211629Z,"""No clause in any of your sentences is true."""
20120502203654Z,"""Hey you idiot you forget that inflation helps WE who have debt. It's a two-edged sword. Real GDP may remain stagnant as NGDP rises, but you will gain wealth as your debt to equity improves in your favor. Don't act like you unerstand economics because you took an intro class your freshman year. Huff puff"""
20120611163037Z,"""you think people don't know LMAO! but what's sad is you should be proud of who you are...why are you hiding that you're a lesbian?...that's the real question."""
20120529131704Z,"""Too bad Tim Duncan didn't retire in 1997."""
20120610064206Z,"""Multiparty = multi-million $$$ elections fought\xa0 out by parties eager to bribe the voters to gain office, which is seen as a position from which they can reward their supporters throughout the country, with sinecure jobs, pork barrel projects and massive corruption at all levels.\n\nJust like Cuba between 1902 - 1958.\n\nHave the Cuban people expressed a desire to return to their status as a US puppet regime in thrall to a gang of corrupt and venal politicians? Except for a tiny clique of US financed ""dissidents"" and their exile supporters in Florida, no."""
20120618232721Z,"""At least with Ventura you know he took to many shots to the head and it results in you becoming a senile idiot. With other liberals you just don't know what causes it."""
20120610034900Z,"""Lol opinion? Nah boo, you are stupid. Please read all of your comments once more, copy them, and save them until you're old enough to comprehend the fact that you're ignorant and stupid. Have a nice day."""
20120528182752Z,"""nobody has arrested george w bush or dick cheney for the murders of over 3000 people on 9 / 11 ... why should we expect a quicker result with assad ... ?"""
20120619045229Z,"""""who gunned down an unarmed teenager just walking down the street!""\n\nSo much for that fair trial you spoke of, how quickly you are to forget"""
20120612110428Z,"""You described\xa0yourself\xa0to a tee. As for ditch diggers, you wish you were smart enough to be one. Now I don't give a damn what you do that's way below being a ditch digger, whatever it is you know you are not worth a damn at it. As being a teabagger, and fox. Oh no you don't, you kicked out of the alley cur. I am a 100% cspan watching\xa0liberal, democratic voter that simply loves the ground President Obama walks on. However, unlike you. I call it like I see it, not a water carrier. Now run along and do\xa0whatever old mangy dogs like you do with you wasted days and night. And do it\xa0so more."""
,"""GOOD NIGHT BUSHFUCKER"""
20120611190957Z,"""Clarrisani is as Australian and Muslim as Barney Frank is straight.\n\nAnother domestic liberal Democrat blog troll - BUSTED.\n\nGo back to MediaMatters: you failed.  You liberals are REALLY SCARED - relax.\n\nObama and you scumbags will be nuked this fall - nothing you can do about it.\n\nRelax!  Don't get a migraine over all this blog talk.  You're not that smart."""
,"""@PassTravelFool suck it republiklans"""
20120320145026Z,"""@YinzerinKT\xa0\xa0@Guinning\xa0Your mother's a whore Trebec."""
20120528220556Z,""". Surpluses turned into deficits-----------------------------------------If you will do some research you will find that there was no surplus money around.\xa0 The national debt went up every year of the Clinton administration.\nps....there may have bee a budget surplus but that just means that you did not spend as much money as you had budgeted to spend.\xa0 It does not mean that you took in more money than you spent."""
,"""@Old Man Game he aint lying best team"""
20120528051025Z,"""WOW TAKE IT EASY OLD MAN YOU MIGHT GET A HEART ATTACK."""
,"""A sad fact indeed but the crime data does not lie..Let""s take the great state of virginia for example with a population of around 24% of black citizens between the age of 16 to 35 yet\\xc2\\xa0of in this particular\\xc2\\xa0age bracket they still manage to commit\\xc2\\xa039%\\xc2\\xa0of all the crimes in this state be it robberies car jackings rape \\xc2\\xa0or murders.Sadly most other states have the same or worse data..ie. 2008 crime stats for the state of virginia."""
20120320204145Z,"""fact: never text a person ever. it will just confirm that you are a big time piece of shit and nobody wants anything to do with you."""
20120611200727Z,"""you're all fucking morons, happy? now shut the hell up jesus its like watching the special olympics."""
20120530010839Z,"""It's not coincidence, seeing that Jason Rubin actually left Naughty Dog at 2004, and that the tablet-controller hybrid functionality and new platform architecture has nothing to do with the cancellation of the Wii U port."""
20120527190240Z,"""I've seen so many videos I don't think I can see any more."""
20120619033040Z,"""WFHASDLGASEGFEAWOHDSHFLAWEFSDHF..SFOAWEHGASD\nHOLY FUCK..\nDPIAHSGPA..I CAN'T EVEN ..\xa0\u2661\xa0\n\nTHE RETURN OF THE SUPERIOR. 13+2 FOREVER"""
20120529222929Z,"""Please keep us informed as to what they will do if and when they do press charges; I read your earlier post.\n\nHave you thought of actually contacting the television news division to see if they're interested in doing an expose?"""
20120618213549Z,"""Too bad none of you are worthy of carrying his jock strap."""
